;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
resource_name/ammo_mech_energy_cell_lvl2;Energy cell <img="gui/hud/building_info_mech"> adv.;;;;Energiezellen <img="gui/hud/building_info_mech"> verb.;;;能量电池<img="gui/hud/building_info_mech"> 高级;;
resource_name/ammo_mech_energy_cell_lvl3;Energy cell <img="gui/hud/building_info_mech"> top end;;;;Energiezellen <img="gui/hud/building_info_mech"> beste;;;能量电池<img="gui/hud/building_info_mech"> 顶级;;
resource_name/ammo_mech_explosive_lvl2;Explosive <img="gui/hud/building_info_mech"> adv.;;;;Explosiv <img="gui/hud/building_info_mech"> verb.;;;爆炸物<img="gui/hud/building_info_mech"> 高级;;
resource_name/ammo_mech_explosive_lvl3;Explosive <img="gui/hud/building_info_mech"> top end;;;;Explosiv <img="gui/hud/building_info_mech"> beste;;;爆炸物<img="gui/hud/building_info_mech"> 顶级;;
resource_name/ammo_mech_high_caliber_lvl2;High caliber <img="gui/hud/building_info_mech"> adv.;;;;Großkaliber <img="gui/hud/building_info_mech"> verb.;;;大口径弹药<img="gui/hud/building_info_mech"> 高级;;
resource_name/ammo_mech_high_caliber_lvl3;High caliber <img="gui/hud/building_info_mech"> top end;;;;Großkaliber <img="gui/hud/building_info_mech"> beste;;;大口径弹药<img="gui/hud/building_info_mech"> 顶级;;
resource_name/ammo_mech_liquid_lvl2;Liquid <img="gui/hud/building_info_mech"> adv.;;;;Flüssig <img="gui/hud/building_info_mech"> verb.;;;液体弹药<img="gui/hud/building_info_mech"> 高级;;
resource_name/ammo_mech_liquid_lvl3;Liquid <img="gui/hud/building_info_mech"> top end;;;;Flüssig <img="gui/hud/building_info_mech"> beste;;;液体弹药<img="gui/hud/building_info_mech"> 顶级;;
resource_name/ammo_mech_low_caliber_lvl2;Low caliber <img="gui/hud/building_info_mech"> adv.;;;;Kleinkaliber <img="gui/hud/building_info_mech"> verb.;;;小口径弹药<img="gui/hud/building_info_mech"> 高级;;
resource_name/ammo_mech_low_caliber_lvl3;Low caliber <img="gui/hud/building_info_mech"> top end;;;;Kleinkaliber <img="gui/hud/building_info_mech"> beste;;;小口径弹药<img="gui/hud/building_info_mech"> 顶级;;
resource_name/ammo_tower_energy_cell;Energy cell <img="gui/hud/building_info_tower">;;;;Energiezellen <img="gui/hud/building_info_tower">;;;能量电池<img="gui/hud/building_info_tower">;;
resource_name/ammo_tower_energy_cell_lvl2;Energy cell <img="gui/hud/building_info_tower"> adv.;;;;Energiezellen <img="gui/hud/building_info_tower"> verb.;;;能量电池<img="gui/hud/building_info_tower"> 高级;;
resource_name/ammo_tower_energy_cell_lvl3;Energy cell <img="gui/hud/building_info_tower"> top end;;;;Energiezellen <img="gui/hud/building_info_tower"> beste;;;能量电池<img="gui/hud/building_info_tower"> 顶级;;
resource_name/ammo_tower_explosive_lvl2;Explosive <img="gui/hud/building_info_tower"> adv.;;;;Explosiv <img="gui/hud/building_info_tower"> verb.;;;爆炸物<img="gui/hud/building_info_tower"> 高级;;
resource_name/ammo_tower_explosive_lvl3;Explosive <img="gui/hud/building_info_tower"> top end;;;;Explosiv <img="gui/hud/building_info_tower"> beste;;;爆炸物<img="gui/hud/building_info_tower"> 顶级;;
resource_name/ammo_tower_high_caliber_lvl2;High caliber <img="gui/hud/building_info_tower"> adv.;;;;Großkaliber <img="gui/hud/building_info_tower"> verb.;;;大口径弹药<img="gui/hud/building_info_tower"> 高级;;
resource_name/ammo_tower_high_caliber_lvl3;High caliber <img="gui/hud/building_info_tower"> top end;;;;Großkaliber <img="gui/hud/building_info_tower"> beste;;;大口径弹药<img="gui/hud/building_info_tower"> 顶级;;
resource_name/ammo_tower_liquid_lvl2;Liquid <img="gui/hud/building_info_tower"> adv.;;;;Flüssig <img="gui/hud/building_info_tower"> verb.;;;液体弹药<img="gui/hud/building_info_tower"> 高级;;
resource_name/ammo_tower_liquid_lvl3;Liquid <img="gui/hud/building_info_tower"> top end;;;;Flüssig <img="gui/hud/building_info_tower"> beste;;;液体弹药<img="gui/hud/building_info_tower"> 顶级;;
resource_name/ammo_tower_low_caliber_lvl2;Low caliber <img="gui/hud/building_info_tower"> adv.;;;;Kleinkaliber <img="gui/hud/building_info_tower"> verb.;;;小口径弹药<img="gui/hud/building_info_tower"> 高级;;
resource_name/ammo_tower_low_caliber_lvl3;Low caliber <img="gui/hud/building_info_tower"> top end;;;;Kleinkaliber <img="gui/hud/building_info_tower"> beste;;;小口径弹药<img="gui/hud/building_info_tower"> 顶级;;
